Company Name,Company_url,salary,designation_list,location_list,qualification_list
Smart Cookie Rewards Pvt. Ltd.,https://in.indeed.com/cmp/Blue-Planet-Infosolutions-India-Pvt-Ltd-2?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjjl9q9kjb8800&fromjk=417a33bd8b04dd50,"Up to ₹35,000 a month",Microsoft 365 Certified Administrator,"Smart Cookie Rewards Pvt. Ltd.Pune, MaharashtraRemote",Bachelor's (Required)Email Migration: 1 year (Required)Azure: 1 year (Required)AWS Certification (Required)Day Shift (Preferred)Night Shift (Preferred)
RegalarTech Pvt. Ltd.,https://in.indeed.com/cmp/Regalartech-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjjljhf2bjr000&fromjk=5de8c5d58b69386d,"₹30,000 - ₹80,000 a month",Python QGIS Developer,"RegalarTech Pvt. Ltd.Pune, Maharashtra",Python: 3 years (Required)
Thinkitive Technologies,https://in.indeed.com/cmp/Thinkitive-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjjlqnajv4h800&fromjk=44d4867867945277,NA,Python Developer,"Thinkitive TechnologiesBaner, Pune, Maharashtra",NA
iQuest,https://in.indeed.com/cmp/Mosahay-Associate?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjjm1rfk9ao800&fromjk=e0a2dfd7dc6cac9b,"Up to ₹20,00,000 a year",Python Developer,"iQuestPune, Maharashtra",NA
LanceTech Solutions Pvt Ltd,https://in.indeed.com/cmp/Lancetech-Solutions-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjjmd2vlgbm802&fromjk=f76d91070153310c,"Up to ₹15,00,000 a year",Data Engineer (Python),"LanceTech Solutions Pvt LtdPune, Maharashtra",NA
Automate Engineering,https://in.indeed.com/cmp/Automate-Engineering?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjjmltric96800&fromjk=72558a8ef6696b61,"₹15,000 - ₹18,000 a month",Machine Learning Engineer,"Automate EngineeringPune, Maharashtra",NA
Smart Cookie Rewards Pvt. Ltd.,https://in.indeed.com/cmp/Blue-Planet-Infosolutions-India-Pvt-Ltd-2?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl0tkkjtue801&fromjk=417a33bd8b04dd50,"Up to ₹35,000 a month",Microsoft 365 Certified Administrator,"Smart Cookie Rewards Pvt. Ltd.Pune, MaharashtraRemote",Bachelor's (Required)Email Migration: 1 year (Required)Azure: 1 year (Required)AWS Certification (Required)Day Shift (Preferred)Night Shift (Preferred)
RegalarTech Pvt. Ltd.,https://in.indeed.com/cmp/Regalartech-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl15cv2943000&fromjk=5de8c5d58b69386d,"₹30,000 - ₹80,000 a month",Python QGIS Developer,"RegalarTech Pvt. Ltd.Pune, Maharashtra",Python: 3 years (Required)
Thinkitive Technologies,https://in.indeed.com/cmp/Thinkitive-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl1c8q2ekd001&fromjk=44d4867867945277,NA,Python Developer,"Thinkitive TechnologiesBaner, Pune, Maharashtra",NA
iQuest,https://in.indeed.com/cmp/Mosahay-Associate?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl1j8sg837801&fromjk=e0a2dfd7dc6cac9b,"Up to ₹20,00,000 a year",Python Developer,"iQuestPune, Maharashtra",NA
LanceTech Solutions Pvt Ltd,https://in.indeed.com/cmp/Lancetech-Solutions-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl1pptkcql800&fromjk=f76d91070153310c,"Up to ₹15,00,000 a year",Data Engineer (Python),"LanceTech Solutions Pvt LtdPune, Maharashtra",NA
Automate Engineering,https://in.indeed.com/cmp/Automate-Engineering?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl2125mnbd800&fromjk=72558a8ef6696b61,"₹15,000 - ₹18,000 a month",Machine Learning Engineer,"Automate EngineeringPune, Maharashtra",NA
Automate Engineering,https://in.indeed.com/cmp/Automate-Engineering?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl284lkcql800&fromjk=72558a8ef6696b61,"₹15,000 - ₹18,000 a month",Machine Learning Engineer,"Automate EngineeringPune, Maharashtra",NA
Floating Minds Infotech,https://in.indeed.com/cmp/Floating-Minds-Infotech-Pvt.ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl2fa8iekg800&fromjk=f39d33e1cb4da420,"₹900 - ₹1,000 an hour",Python trainer,"Floating Minds InfotechPune, Maharashtra",NA
LanceTech Solutions Pvt Ltd,https://in.indeed.com/cmp/Lancetech-Solutions-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl2mi2i92h800&fromjk=f76d91070153310c,"Up to ₹15,00,000 a year",Data Engineer (Python),"LanceTech Solutions Pvt LtdPune, Maharashtra",NA
RegalarTech Pvt. Ltd.,https://in.indeed.com/cmp/Regalartech-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl2u6fic96800&fromjk=5de8c5d58b69386d,"₹30,000 - ₹80,000 a month",Python QGIS Developer,"RegalarTech Pvt. Ltd.Pune, Maharashtra",Python: 3 years (Required)
iQuest,https://in.indeed.com/cmp/Mosahay-Associate?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl35ibi934800&fromjk=e0a2dfd7dc6cac9b,"Up to ₹20,00,000 a year",Python Developer,"iQuestPune, Maharashtra",NA
Claim Genius india Pvt Ltd,https://in.indeed.com/cmp/Claim-Genius-India-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl3ckhj9h0801&fromjk=9f658fe960ec1889,"₹4,00,000 - ₹8,00,000 a year",Junior Data Scientist,"Claim Genius india Pvt LtdPune, Maharashtra",Image processing: 1 year (Required)
Success Arrow,https://in.indeed.com/cmp/Access-Million-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl3k53jv60802&fromjk=c549888fc957fa7a,"₹5,43,872 - ₹6,64,792 a year",Freelance Data Scientist Trainer,"Success ArrowPune, MaharashtraRemote",total work: 2 years (Required)
nCircle Tech Pvt. Ltd.,https://in.indeed.com/cmp/Ncircle-Tech-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl3r9b2iee001&fromjk=0491227d059714ce,"₹10,00,000 - ₹15,00,000 a year",Full Stack Developer(Python & React),"nCircle Tech Pvt. Ltd.Pune, MaharashtraRemote",React.js: 3 years (Preferred)Python: 3 years (Preferred)
Agiliad,https://in.indeed.com/cmp/Agiliad?campaignid=mobvjcmp&from=mobviewjob&tk=1gjjl429vkjip800&fromjk=6c2b8a933982e2e3,NA,Python,"AgiliadPune, Maharashtra",NA
